N,P,K,temperature,humidity,ph,rainfall,label
53,65,76,20,16,9,77,chickpea
22,60,85,19,15,8,95,chickpea
60,61,78,21,20,6,94,chickpea
42,67,77,19,16,7,79,chickpea
39,76,76,20,16,8,69,chickpea
35,63,76,18,18,8,91,chickpea
30,65,82,21,15,7,77,chickpea
57,56,78,17,19,9,68,chickpea
48,65,78,17,14,8,73,chickpea
36,56,83,19,20,7,69,chickpea
40,58,75,19,15,7,90,chickpea
49,69,82,18,15,7,82,chickpea
13,60,25,17,21,6,128,kidneybeans
25,70,16,20,19,6,106,kidneybeans
31,55,22,23,21,6,109,kidneybeans
40,64,16,16,24,6,140,kidneybeans
2,61,20,22,23,6,77,kidneybeans
26,65,22,18,19,6,143,kidneybeans
17,57,21,20,20,6,61,kidneybeans
26,80,18,19,23,6,105,kidneybeans
17,59,17,18,23,6,133,kidneybeans
27,59,22,22,23,6,130,kidneybeans
28,58,24,20,18,6,144,kidneybeans
25,57,19,17,20,6,88,kidneybeans
28,80,17,20,19,6,144,kidneybeans
25,60,22,22,21,6,134,kidneybeans
12,78,23,16,19,6,88,kidneybeans
6,77,25,21,24,6,70,kidneybeans
22,79,17,21,20,6,117,kidneybeans
27,80,15,19,21,6,86,kidneybeans
10,55,23,21,20,6,137,kidneybeans
23,65,20,23,22,6,108,kidneybeans
19,78,16,21,23,6,68,kidneybeans
19,65,25,18,18,6,145,kidneybeans
22,70,19,18,21,6,69,kidneybeans
37,64,22,17,19,6,122,kidneybeans
11,71,17,20,21,6,83,kidneybeans
18,79,20,20,23,6,140,kidneybeans
21,63,17,16,19,6,108,kidneybeans
24,80,22,17,19,6,97,kidneybeans
34,60,22,18,18,6,101,kidneybeans
16,75,21,19,24,6,87,kidneybeans
17,77,23,25,21,6,64,kidneybeans
37,72,18,19,25,6,105,kidneybeans
40,73,20,22,20,6,61,kidneybeans
9,77,17,20,24,6,106,kidneybeans
1,62,23,15,18,6,139,kidneybeans
33,59,22,23,22,6,122,kidneybeans
23,59,19,22,25,6,130,kidneybeans
6,62,22,21,18,6,120,kidneybeans
25,63,20,16,21,6,95,kidneybeans
7,79,23,20,20,6,97,kidneybeans
8,72,17,21,20,6,88,kidneybeans
27,64,15,20,25,6,138,kidneybeans
28,66,23,22,24,6,121,kidneybeans
32,57,18,16,24,6,107,kidneybeans
27,56,22,20,21,6,109,kidneybeans
17,77,24,21,19,6,109,kidneybeans
0,65,15,23,23,6,96,kidneybeans
13,72,21,24,21,6,60,kidneybeans
34,60,23,20,25,6,100,kidneybeans
9,80,19,22,19,6,125,kidneybeans
11,72,20,20,25,6,113,kidneybeans
3,67,24,17,20,6,103,kidneybeans
35,69,23,17,25,6,75,kidneybeans
3,77,25,25,23,6,62,kidneybeans
23,62,19,17,20,6,99,kidneybeans
22,71,17,18,19,6,108,kidneybeans
31,79,25,23,22,6,63,kidneybeans
34,59,18,23,22,6,88,kidneybeans
12,63,17,18,19,6,138,kidneybeans
27,56,20,19,21,6,95,kidneybeans
7,63,24,23,24,6,108,kidneybeans
24,67,22,20,23,6,105,kidneybeans
11,71,24,21,23,6,142,kidneybeans
37,74,15,25,18,6,63,kidneybeans
25,76,24,15,25,6,135,kidneybeans
34,66,17,19,21,6,125,kidneybeans
20,69,15,23,23,6,107,kidneybeans
37,65,16,23,19,6,64,kidneybeans
18,74,15,25,22,6,146,kidneybeans
4,67,25,24,24,6,120,kidneybeans
37,56,25,22,20,6,127,kidneybeans
5,59,15,19,20,6,134,kidneybeans
11,61,21,19,23,6,135,kidneybeans
22,80,20,23,19,6,100,kidneybeans
12,61,19,19,24,6,69,kidneybeans
5,74,21,16,21,6,67,kidneybeans
27,69,22,18,25,6,69,kidneybeans
31,75,18,15,21,6,89,kidneybeans
36,68,20,17,24,6,82,kidneybeans
5,65,16,21,18,6,109,kidneybeans
32,79,15,24,21,6,82,kidneybeans
11,78,22,24,23,6,113,kidneybeans
0,55,22,23,21,6,144,kidneybeans
14,59,15,21,23,6,146,kidneybeans
29,68,23,24,19,6,117,kidneybeans
32,68,19,25,18,6,150,kidneybeans
17,64,17,21,25,6,125,kidneybeans
13,69,19,17,20,6,115,kidneybeans
14,67,22,24,25,6,85,kidneybeans
9,69,20,19,24,6,129,kidneybeans
20,73,22,16,22,6,130,kidneybeans
40,78,20,19,21,6,80,kidneybeans
27,72,23,20,22,6,64,kidneybeans
14,67,15,20,25,6,139,kidneybeans
7,56,18,18,24,6,76,kidneybeans
27,65,18,20,23,6,73,kidneybeans
30,63,16,24,22,6,101,kidneybeans
37,70,25,20,25,6,84,kidneybeans
27,63,19,21,21,6,133,kidneybeans
22,60,24,19,20,6,104,kidneybeans
3,72,24,37,58,6,123,pigeonpeas
40,59,23,37,63,5,164,pigeonpeas
33,73,23,29,59,6,103,pigeonpeas
27,57,24,27,43,6,142,pigeonpeas
10,79,18,21,55,6,185,pigeonpeas
30,75,25,30,42,6,149,pigeonpeas
40,70,20,32,45,6,147,pigeonpeas
38,55,19,33,38,6,199,pigeonpeas
35,58,20,29,63,6,90,pigeonpeas
38,61,21,30,67,5,128,pigeonpeas
33,58,24,35,69,5,109,pigeonpeas
16,56,17,34,40,7,177,pigeonpeas
31,72,17,29,49,6,96,pigeonpeas
16,80,20,31,57,7,122,pigeonpeas
27,72,17,29,57,6,121,pigeonpeas
40,62,19,27,34,5,97,pigeonpeas
18,58,16,21,39,5,180,pigeonpeas
3,68,16,18,35,5,107,pigeonpeas
26,67,24,37,38,6,161,pigeonpeas
16,70,20,25,40,6,122,pigeonpeas
24,63,19,19,56,5,195,pigeonpeas
9,76,25,29,50,6,179,pigeonpeas
16,55,19,20,47,6,192,pigeonpeas
28,75,21,25,51,6,114,pigeonpeas
16,71,24,18,38,5,140,pigeonpeas
24,70,21,19,45,6,133,pigeonpeas
38,72,21,28,49,6,187,pigeonpeas
9,66,21,30,34,6,157,pigeonpeas
34,56,17,33,35,5,140,pigeonpeas
1,76,19,24,47,7,177,pigeonpeas
6,69,19,27,42,5,94,pigeonpeas
26,73,21,31,58,5,162,pigeonpeas
27,61,18,33,67,5,109,pigeonpeas
27,71,23,23,46,7,151,pigeonpeas
36,61,21,35,39,6,169,pigeonpeas
17,73,18,20,35,6,197,pigeonpeas
26,72,22,29,38,5,92,pigeonpeas
17,64,16,31,32,7,181,pigeonpeas
14,74,19,18,37,7,93,pigeonpeas
39,60,15,35,31,5,117,pigeonpeas
6,66,15,35,30,6,159,pigeonpeas
8,59,18,30,36,6,188,pigeonpeas
2,67,18,35,48,6,129,pigeonpeas
1,76,17,28,52,6,147,pigeonpeas
16,73,19,18,35,5,163,pigeonpeas
23,75,25,31,47,7,91,pigeonpeas
32,70,20,21,46,6,196,pigeonpeas
28,59,22,31,53,7,171,pigeonpeas
5,62,23,28,66,5,145,pigeonpeas
36,67,25,36,37,6,136,pigeonpeas
1,66,23,20,57,5,173,pigeonpeas
24,73,20,20,32,5,176,pigeonpeas
17,67,18,31,56,6,129,pigeonpeas
5,55,18,34,46,7,127,pigeonpeas
5,56,24,25,45,5,188,pigeonpeas
37,77,17,36,32,6,191,pigeonpeas
13,73,20,31,35,5,163,pigeonpeas
6,63,23,26,50,6,160,pigeonpeas
16,77,22,31,36,7,101,pigeonpeas
25,64,20,33,32,5,105,pigeonpeas
34,75,24,24,51,5,192,pigeonpeas
20,77,23,35,39,5,148,pigeonpeas
35,80,25,28,45,5,197,pigeonpeas
14,75,24,25,57,6,118,pigeonpeas
36,80,21,34,48,7,100,pigeonpeas
7,77,18,21,61,7,191,pigeonpeas
29,78,25,20,59,6,196,pigeonpeas
30,60,21,29,62,5,182,pigeonpeas
20,74,16,36,44,5,160,pigeonpeas
19,57,23,24,47,7,141,pigeonpeas
3,60,19,26,41,5,101,pigeonpeas
5,77,19,31,67,6,176,pigeonpeas
5,68,20,19,61,5,140,pigeonpeas
37,73,21,30,63,6,190,pigeonpeas
9,59,24,20,39,5,137,pigeonpeas
20,72,15,36,56,7,135,pigeonpeas
31,56,23,31,35,6,175,pigeonpeas
0,70,21,36,56,5,102,pigeonpeas
21,74,15,29,67,6,153,pigeonpeas
13,67,18,31,35,5,178,pigeonpeas
27,74,20,25,60,6,92,pigeonpeas
29,72,24,23,37,7,163,pigeonpeas
5,68,20,19,33,6,155,pigeonpeas
39,57,19,29,46,6,165,pigeonpeas
22,62,16,35,54,5,181,pigeonpeas
18,55,23,22,56,7,137,pigeonpeas
39,77,21,23,60,5,160,pigeonpeas
13,75,20,31,35,7,179,pigeonpeas
27,71,24,31,48,7,165,pigeonpeas
26,64,22,26,41,5,109,pigeonpeas
23,55,16,21,70,5,185,pigeonpeas
4,69,19,19,48,5,149,pigeonpeas
20,67,19,19,51,6,181,pigeonpeas
7,74,17,22,63,6,97,pigeonpeas
17,64,18,37,58,6,125,pigeonpeas
35,71,17,30,66,7,198,pigeonpeas
11,72,22,29,45,7,172,pigeonpeas
20,60,22,30,43,7,187,pigeonpeas
10,71,18,20,66,6,173,pigeonpeas
33,61,24,20,49,5,122,pigeonpeas
3,49,18,28,65,4,33,mothbeans
22,59,23,27,51,4,37,mothbeans
36,58,25,29,59,8,37,mothbeans
4,43,18,29,61,9,73,mothbeans
29,54,16,28,55,8,32,mothbeans
32,43,22,32,54,5,72,mothbeans
14,55,15,27,55,8,73,mothbeans
5,35,20,29,54,10,66,mothbeans
25,57,24,28,59,7,37,mothbeans
11,53,24,29,56,7,61,mothbeans
40,49,17,31,46,7,54,mothbeans
38,56,25,26,45,8,67,mothbeans
27,43,23,32,57,6,45,mothbeans
24,38,22,24,59,8,35,mothbeans
23,45,21,31,52,9,74,mothbeans
29,57,20,26,51,6,53,mothbeans
31,35,23,30,47,8,68,mothbeans
0,55,25,28,44,5,46,mothbeans
7,45,22,26,45,10,74,mothbeans
17,58,25,31,44,6,33,mothbeans
11,44,17,26,56,8,35,mothbeans
22,49,22,28,62,4,73,mothbeans
9,51,19,27,49,5,48,mothbeans
28,48,15,25,55,9,41,mothbeans
26,50,19,27,52,6,33,mothbeans
36,56,20,25,50,7,32,mothbeans
8,60,18,31,46,4,53,mothbeans
24,37,21,31,58,6,63,mothbeans
22,43,24,25,53,5,46,mothbeans
36,43,24,27,44,4,42,mothbeans
22,44,24,24,56,6,59,mothbeans
17,43,22,30,46,6,41,mothbeans
8,45,15,28,61,5,34,mothbeans
7,56,23,26,40,6,56,mothbeans
36,57,16,29,57,8,57,mothbeans
11,45,19,29,44,4,44,mothbeans
6,36,22,24,60,9,42,mothbeans
17,57,20,29,45,4,66,mothbeans
4,47,20,26,65,4,72,mothbeans
9,49,16,31,41,8,55,mothbeans
25,51,24,26,62,9,65,mothbeans
36,44,21,25,51,5,38,mothbeans
21,38,20,27,64,6,62,mothbeans
37,57,20,31,45,7,71,mothbeans
32,48,18,26,56,6,64,mothbeans
29,44,20,30,64,9,32,mothbeans
25,51,18,28,55,9,50,mothbeans
10,44,24,31,43,8,58,mothbeans
23,35,18,26,47,5,37,mothbeans
9,60,23,32,57,6,64,mothbeans
3,58,21,25,47,9,56,mothbeans
22,42,22,26,57,8,48,mothbeans
12,39,21,29,63,8,70,mothbeans
39,36,22,29,61,9,34,mothbeans
32,41,16,29,61,8,69,mothbeans
30,41,15,25,44,6,52,mothbeans
19,36,22,25,59,6,57,mothbeans
4,46,15,31,62,4,64,mothbeans
21,39,20,27,52,7,61,mothbeans
35,57,25,27,42,8,71,mothbeans
22,55,24,29,57,9,65,mothbeans
35,51,17,29,50,4,41,mothbeans
17,56,17,28,45,6,70,mothbeans
28,57,17,30,62,9,62,mothbeans
22,36,16,31,51,8,65,mothbeans
11,41,19,27,42,5,44,mothbeans
38,38,18,26,61,6,36,mothbeans
23,37,24,29,44,8,34,mothbeans
25,35,20,29,43,9,72,mothbeans
40,45,20,29,58,7,38,mothbeans
23,58,19,24,58,5,59,mothbeans
2,56,23,27,60,8,37,mothbeans
3,56,17,28,54,9,52,mothbeans
26,51,25,29,53,8,55,mothbeans
39,42,20,29,61,8,41,mothbeans
27,59,20,28,53,4,36,mothbeans
24,45,19,27,49,6,35,mothbeans
7,40,17,31,41,9,54,mothbeans
15,45,23,24,61,7,46,mothbeans
26,52,23,30,50,5,53,mothbeans
20,45,16,30,55,5,45,mothbeans
34,54,24,31,42,5,69,mothbeans
19,51,25,27,48,4,44,mothbeans
29,41,21,31,63,9,65,mothbeans
20,50,22,31,46,9,38,mothbeans
11,40,23,30,63,6,50,mothbeans
15,54,15,30,57,8,45,mothbeans
35,55,22,31,53,9,56,mothbeans
9,59,25,30,60,8,35,mothbeans
40,45,18,30,55,5,31,mothbeans
35,38,19,25,63,9,33,mothbeans
14,58,17,31,60,5,33,mothbeans
40,55,18,30,41,7,48,mothbeans
18,36,23,24,54,7,35,mothbeans
35,52,15,29,61,10,66,mothbeans
4,59,22,29,49,9,42,mothbeans
22,51,16,28,61,9,70,mothbeans
33,47,17,25,48,9,64,mothbeans
2,51,17,26,46,6,39,mothbeans
16,51,21,31,50,4,33,mothbeans
19,55,20,27,88,7,55,mungbean
8,54,20,28,81,7,39,mungbean
36,55,20,27,84,7,55,mungbean
10,56,16,28,81,7,36,mungbean
22,56,17,30,87,7,45,mungbean
9,57,24,30,90,7,43,mungbean
34,59,23,29,83,7,56,mungbean
31,51,25,28,86,7,53,mungbean
0,49,18,30,88,7,42,mungbean
21,39,20,28,82,7,47,mungbean
28,35,22,30,87,7,60,mungbean
17,52,17,28,86,6,45,mungbean
24,42,23,28,82,6,44,mungbean
28,46,16,29,85,7,46,mungbean
21,38,21,30,86,7,38,mungbean
34,60,25,30,85,7,41,mungbean
19,53,22,28,80,7,43,mungbean
31,58,15,27,85,7,52,mungbean
19,35,24,27,84,7,49,mungbean
24,53,17,29,89,6,58,mungbean
13,47,20,29,88,7,43,mungbean
31,53,16,29,86,6,49,mungbean
28,45,23,30,80,6,57,mungbean
31,37,21,27,86,7,37,mungbean
33,60,15,29,82,7,57,mungbean
34,45,21,28,83,6,37,mungbean
13,57,25,28,86,7,50,mungbean
33,57,17,28,89,7,58,mungbean
32,57,22,29,88,7,45,mungbean
23,59,25,28,89,6,57,mungbean
35,41,18,29,82,7,60,mungbean
6,48,24,29,85,7,48,mungbean
29,36,25,28,88,7,49,mungbean
4,36,22,28,86,7,44,mungbean
10,59,22,29,87,7,37,mungbean
14,48,21,29,85,7,53,mungbean
8,50,21,29,89,6,51,mungbean
20,40,15,30,88,7,45,mungbean
36,43,22,28,87,6,58,mungbean
14,57,15,30,83,7,40,mungbean
11,60,23,27,89,7,51,mungbean
10,59,15,30,89,6,59,mungbean
7,60,25,28,83,6,56,mungbean
2,47,15,30,86,6,58,mungbean
20,45,22,30,90,7,55,mungbean
2,39,15,28,83,6,50,mungbean
27,40,24,28,90,7,53,mungbean
35,48,15,27,87,7,55,mungbean
4,59,25,28,82,6,55,mungbean
1,48,24,29,86,6,59,mungbean
36,43,21,28,85,7,53,mungbean
11,46,24,28,90,6,57,mungbean
34,47,19,27,85,7,53,mungbean
21,44,18,27,87,7,50,mungbean
17,58,20,28,86,6,39,mungbean
25,40,21,28,81,6,44,mungbean
2,38,18,28,90,7,45,mungbean
9,48,20,30,84,6,56,mungbean
37,49,25,30,86,6,41,mungbean
36,38,15,28,88,6,58,mungbean
40,58,15,29,88,7,43,mungbean
30,44,16,30,83,6,51,mungbean
1,59,23,27,87,7,44,mungbean
9,48,22,28,87,6,50,mungbean
14,41,17,29,88,7,36,mungbean
35,52,19,27,90,7,37,mungbean
31,48,17,29,87,7,54,mungbean
4,41,20,28,84,7,37,mungbean
30,37,25,30,80,7,55,mungbean
9,35,20,27,81,7,41,mungbean
20,41,20,29,89,7,51,mungbean
37,50,23,30,88,7,56,mungbean
34,35,21,28,83,7,58,mungbean
14,37,15,28,84,7,49,mungbean
23,39,22,29,82,7,42,mungbean
5,45,21,28,88,6,43,mungbean
22,37,20,28,86,7,39,mungbean
40,51,17,29,86,7,50,mungbean
27,56,20,29,87,6,52,mungbean
31,40,22,29,86,6,53,mungbean
38,36,21,28,85,7,36,mungbean
6,37,17,28,80,7,38,mungbean
6,47,18,29,80,7,40,mungbean
24,44,17,30,80,7,51,mungbean
25,59,19,29,84,7,44,mungbean
32,56,21,27,89,7,58,mungbean
8,45,18,28,85,7,43,mungbean
19,39,17,29,82,7,44,mungbean
39,37,15,29,84,7,60,mungbean
33,37,19,28,87,7,43,mungbean
26,54,17,29,89,6,49,mungbean
21,51,15,29,89,7,48,mungbean
22,54,20,29,84,7,41,mungbean
29,45,16,28,88,7,43,mungbean
4,40,21,29,80,7,44,mungbean
10,37,22,29,89,7,59,mungbean
4,44,19,28,84,7,43,mungbean
20,45,17,28,84,7,37,mungbean
23,45,23,29,87,7,56,mungbean
25,48,21,28,83,6,53,mungbean
56,79,15,29,63,7,72,blackgram
25,62,21,27,68,7,67,blackgram
42,61,22,26,62,7,70,blackgram
42,73,25,34,67,7,73,blackgram
44,58,18,28,65,7,73,blackgram
50,55,16,29,65,8,62,blackgram
35,72,21,34,64,8,67,blackgram
30,64,20,34,62,7,68,blackgram
27,64,21,33,69,8,74,blackgram
50,74,17,27,63,7,74,blackgram
39,73,24,26,61,7,69,blackgram
57,67,25,32,67,8,65,blackgram
52,63,19,30,68,7,68,blackgram
55,66,22,31,69,8,67,blackgram
51,56,18,28,64,7,71,blackgram
36,66,15,30,69,7,67,blackgram
59,55,19,32,63,7,69,blackgram
50,58,23,28,63,8,70,blackgram
30,65,25,33,65,8,72,blackgram
20,62,18,29,65,7,62,blackgram
58,71,15,28,68,7,74,blackgram
25,71,24,29,60,7,75,blackgram
52,71,16,28,69,7,72,blackgram
